channelId,channelTitle,country,subscriberCount,viewCount,videoCount,main_topic,view_per_sub
UCKHGKR_8mQcCuSOoagfpdBA,Bi Huỳnh Gaming,VN,1400000,340393984,180,Gaming,243.14
UChG2EWuXoW7Tgof35WjbsnQ,LoL Esports VN,VN,815000,360406864,2691,Gaming,442.22
UCKgALVAg70mbC4SwhkyhvRw,Free Fire Esports VN,VN,2230000,685331478,3310,Gaming,307.32
UClcDtH7Qq--bSoxjhiScxdA,Vua Bolero,VN,818000,17851091,149,Music,21.82
UCwfrLrq0ozAGuPe8pisWXsw,CaoTri Official ,VN,335000,228426372,543,Music,681.87
UCO8DeVdhHQFUD5u4upZR_lA,Khánh Phương Tube,VN,871000,344982275,365,Music,396.08
UCPDs5WRe5P-DFW_1EIPqlWQ,Orinn Mix,VN,4640000,2052321807,2479,Music,442.31
UCXdpVc3f-zBPmqOr4qEJjqw,Dương Domic,VN,567000,222707161,148,Music,392.78
UCrUiqdpkryBlR1d00tVDNog,Cafe Quán Xưa,VN,71300,13152764,69,Music,184.47
UCGO3xOdjuKhULFkwwPoE3Mg,H2O Remix,VN,2640000,800185589,2041,Music,303.1
UCBawy5DHsIGbsIJF4rhOJWw,Trung Nghĩa Official,VN,31500,9021334,236,Music,286.39
UCDGsReViNk9mmXDiakQzuoA,TRO-Music - Topic,VN,22400,7815397,23,Music,348.9
UCPjbFSSZXI7ERLRt3O0CGBQ,RHYDER OFFICIAL,VN,394000,124193963,77,Music,315.21
UCu4ZnhvM4AUpxM8D0SCnldA,Low G,VN,227000,15707932,86,Music,69.2
UCQUc6tjDQBCddTbjSD5vaGQ,Em Chè ĐTCL,VN,448000,236804678,1963,Gaming,528.58
UCPzf0TabG_Wl30zMshVfzCA,BÁC GẤU VLOG,VN,1880000,565765667,1437,Gaming,300.94
UCI2OiZs5aVcyBUBVsgovzng,YEAH1 MUSIC,VN,3420000,2826584094,1920,Music,826.49
UCz_9Qop0Xv6WgXi2rXcqOQA,Dr4gons Roblox 02,VN,240000,80949607,186,Gaming,337.29
UCDhxPj5HsdH-jn7rUx6A2yg,Toga TV,VN,3850000,2251426755,1281,Gaming,584.79
UCKxbHR8VG9AyXL-W07ocrWA,Đấu Trường Chân Lý,VN,217000,62899160,2606,Gaming,289.86
UCeTI-7rPW8Q1sDKnk2AzKJw,Pháp Kiều,VN,176000,45352171,132,Music,257.68
UCv0Vs0XYT3hf5JxpRxYfGew,Mạnh Hà Lossless,VN,81200,19200676,85,Music,236.46
UCgwlwJJVhoouB5PCQCSuKLQ,Bo 2020,VN,746000,317433361,3160,Gaming,425.51
UCnvMTqCVXbV8cqaFsjxFpsg,Andree Right Hand,VN,490000,274586469,100,Music,560.38
UCIPPMRA040LQr5QPyJEbmXA,MrBeast Gaming,US,51300000,9577699950,156,Gaming,186.7
UCtT5uP2WIGxyP0MYCC_ZHtQ,Oops Hiha,VN,6310000,3846278569,2674,Gaming,609.55
UCLD9JqP0rMs2kRD6UimhLEw,Dr4gons Gaming,VN,50200,6366534,22,Gaming,126.82
UCm0P5i4TNItvgmPCZCGSyYA,LCK Tiếng Việt,VN,1010000,646976593,8657,Gaming,640.57
UCcr4x4DBzRD0871Vq9QyyaA,VALORANT Champions Tour Vietnam,VN,189000,97743509,4210,Gaming,517.16
UCMmTKMN79J0lBWDPGaZgl7Q,Bi Huỳnh Roblox,VN,1020000,280914045,203,Gaming,275.41
UCabqmRU7ban84GhW2rKSBhg,Nabee,VN,1510000,445284601,878,Gaming,294.89
UCPg69a0lrR7AOi88X6CQGeA,Air Remix,VN,735000,573178455,980,Music,779.83
UCVIIa6OL-FautUqhHjAoz_A,ĐỨC PHÚC OFFICIAL,VN,2140000,1138658677,222,Music,532.08
UC5mzpqa98hIFlQ9SFxqAilw,EvB Records,VN,1820000,847952709,142,Music,465.91
UC2fu6CiFfNYz5UFORvFyc0w,Vie Channel - MUSIC,VN,1590000,1955400271,2182,Music,1229.81
UC0EIhv95_srj93FqiLBCRkg,Crazy Lion 02,VN,492000,219755540,202,Gaming,446.66
UCBgsDa_tKVorr19getEqvrw,Lil Wuyn Official,VN,265000,136392078,68,Music,514.69
UC87UEhR7INB0e0WxfIsEQhQ,RAV,VN,1740000,967294423,662,Gaming,555.92
UCGzMqaw3hRu00nTXyshu08Q,Gemini Hùng Huỳnh,VN,110000,2256965,23,Music,20.52
UCZikNEaOXc_ZXG1KlBU4gmQ,Hùng Akira Blox Fruit,VN,466000,69769469,115,Gaming,149.72
UC51L-ygCrFScx3mu-XIg-Tg,Seachains,VN,187000,23584612,41,Music,126.12
UCJrrhjriV_tXB9P3olty9oA,Lốp Đá Live,VN,47000,5750260,17,Gaming,122.35
UCZzKnnb8ENdw1AFrK8xLDDg,Hoàng Dũng,VN,554000,454928383,262,Music,821.17
UCQ4snivOmAYFUR1vdFOwMKw,Quang Hùng MasterD,VN,1680000,467776323,138,Music,278.44
UCshA0rciz2K3O0EezIpu03A,bqThanh,VN,4120000,3126995302,1730,Gaming,758.98
UC89u8T2JjgjAo1G37dXLLWw,KhangProFilm,VN,4720000,1973305395,717,Music,418.07
UCpnQwjzvDm1MOMtZV2zkVpA,Liên Quân Mobile eSports-Garena,VN,5500000,3182120580,11230,Gaming,578.57
UCk3qi2ihToNbWO0FN7MbFJQ,HÙNG AKIRA TOILET,VN,268000,41714541,139,Gaming,155.65
UCu9QjEfQFbO4-x5toCFACrA,CGV Cinemas Vietnam,VN,764000,500611242,8744,Film & TV,655.25
UCA_23dkEYToAc37hjSsCnXA,MixiGaming,VN,8200000,4111618863,3583,Gaming,501.42
UCg2VpRaaEKrY97aS4-RjK-g,Nguyên Hà Official,VN,333000,166448420,219,Music,499.85
UCpVvunMbMvVj9DgCiOSBdcg,SOOBIN Official,VN,1550000,714363556,276,Music,460.88
UCKZsXWHDItXmW67nUA9C5ng,Sờ Quýt Blox,VN,37200,6404100,24,Gaming,172.15
UCVESxw43U9N_8voQTm-Mmhg,Jee Trần Official,VN,125000,56451608,247,Music,451.61
UCFgdBcaVqROiBTiFlHF0SSw,Sầu Riêng TV,VN,1990000,443125870,1426,Gaming,222.68
UCqECaJ8Gagnn7YCbPEzWH6g,Taylor Swift,US,62300000,41753931516,645,Music,670.21
UCrr5XJFgi3HNcXFWIDhNF7w,Jun Phạm Official,VN,505000,94238141,282,Music,186.61
UCDzJOrDYIlAkW9iR4Z7qKCQ,Cá Khô,VN,372000,88842478,774,Gaming,238.82
UCWEYgC77_ZlbDxStQyzOwfA,Hiếu Organ,VN,4650000,5520752280,4578,Music,1187.26
UCKMcwglSCCYardHgZHdDmiw,24kRight,VN,162000,61910971,450,Music,382.17
UC-ssrFhEYBnYv7nqbpB5cxQ,CULÌ FF,VN,140000,26754015,85,Gaming,191.1
UC0L5kkuhyN7_wWhzBBByUxA,Nguyên Vũ Official,VN,232000,12109904,63,Music,52.2
UCnA_KijdLIYf3U5fyp9uyeQ,JunB Roblox,VN,183000,43620886,116,Gaming,238.37
UCdC8JBKvGhmoD3h2wMQM1tQ,bqThanh TV,VN,2340000,1527810098,665,Gaming,652.91
UCEnuN3rsqxKvgiiILyNKR_Q,BOLERO SANG TRỌNG,VN,51300,7448509,89,Music,145.2
UCEY_NBZzmBrem6JuRQAWCdQ,Sến Trữ Tình,VN,1100000,143641300,168,Music,130.58
UCyRkr5_TJ8SUvyjN9j5c7yw,Dương record,VN,694000,148071729,133,Gaming,213.36
UC8rFqtcN8pmvUYpFCoF5lzA,Lộc Zutaki,VN,2040000,637334220,1180,Gaming,312.42
UCviMb3y89WFSAHtKPZrF1cw,HÙNG CAI DÙ 2M1,VN,345000,46845137,37,Gaming,135.78
UCc_gMV4N9vJtpy7GcMUHaVw,Trực Tiếp Game,VN,2000000,1278424416,4418,Gaming,639.21
UCyBhQGZhXQ9sAxbkxi8DI0g,YUMMIE TV,VN,3180000,1400683426,1260,Gaming,440.47
UCzjTSKdtjwdPqTz6f8_yhOQ,Dr4gons Defender,VN,138000,29692155,172,Gaming,215.16
UCl8vRVakk0sm9-hBwy3TUYA,Hồi Ức Âm Nhạc,VN,3170,850597,31,Music,268.33
UCTj-KdOLC78CGcPwXpS3Xzw,JayGray Roblox,VN,794000,283050719,659,Gaming,356.49
UCFbu6pUsxkEzrZz5p8NYIqQ,Trong Hieu Official,DE,327000,146383119,771,Music,447.65
UCF8QTOD5M8mu4O0JCB1GHOw,Sàn Diễn Âm Nhạc,VN,12700,3181519,94,Music,250.51
UCgZ0ZpHDAdyM25XFPHDCThg,Negav,VN,402000,116782431,25,Music,290.5
UCV_CO38_pjJHmQ1p0X-jdSw,Ưng Hoàng Phúc,VN,1900000,718037503,2401,Music,377.91
UCWaqRVpfdjpR_nRRWe6vbog,TUI TÊN BÔ,VN,2140000,646433296,2097,Gaming,302.07
UCTlTpTxz0rqZBNZlFerbJ1g,Pond Gaming,VN,191000,58671018,128,Gaming,307.18
UC_RlQANKI-NoVRjdbjYzu5Q,LMC Gamer,VN,1330000,252699213,404,Gaming,190.0
UCjhA0sCG8WH8AWJadvH1u8g,Hidding,VN,1050000,1426486034,723,Gaming,1358.56
UC7REKZZDEuFQj23lWPH5rfg,Hustlang Robber,VN,211000,73872548,107,Music,350.11
UCE7_JOvjvhskXjeS-D5KP9w,Deann,VN,649000,388084573,307,Gaming,597.97
UC1Fb4Ho1-BURax4fgvfgw3w,Bolero Phòng Trà VIP,VN,9720,3441178,40,Music,354.03
UC6LoGH9s3soh3WJiO5WjnIg,Air Lofi Chill,VN,226000,66425407,747,Music,293.92
UCeX2iXaH63w3BZ8Wae_JdEA,PUBG: BATTLEGROUNDS VIETNAM,VN,408000,294003104,8388,Gaming,720.6
UC8YW6FO4bJzh8IKJl3PtZqw,Văn Tùng,VN,628000,504280402,5204,Gaming,802.99
UCTOWyiIkPEqyh_2O-ArJR5w,FOREST STUDIO,VN,1030000,1085299354,1086,Music,1053.69
UC94-P57m75DJoYxmCYikSeA,Đức Mõm Gamer,VN,586000,142549266,108,Gaming,243.26
UCePWSQHSdXqzQlzyJfwY1Jg,Vũ Official,VN,1330000,777379522,159,Music,584.5
UCdev_S5LGO4GC-4xISv1D5Q,Dế Choắt,VN,1250000,168978804,111,Music,135.18
UCITC8D9xcsfGaso_65FCv8A,Hồ Lệ Thu Official,US,11900,3507351,73,Music,294.74
UCbq0B-aH1rxrqvfCH9mStvg,Will M,VN,231000,54303096,259,Music,235.08
UChMNxj57P1K9cy1dax3QKXA,Minh Lai Official,VN,11600,1169341,12,Music,100.81
UCMH1Pr3W88AjwYkSXzmE__w,Game Short,VN,26000,7285918,105,Gaming,280.23
UCLeo6UD1jb1Dv8q7ay5CNfA,Release - Topic,Unknown,70,0,0,Other,0.0
UCWNtkLbRVl3LO5ktp1ghh0Q,Dolce Music,VN,287000,135938460,830,Music,473.65
UC4GxnaIT8xz5GcGR-sF7FyA,Dr4gons Roblox,VN,1000000,159011278,341,Gaming,159.01
UCfU42vu0J0xk6oa2S0SP-Eg,HK15,VN,736000,464960657,891,Gaming,631.74
UCgz44a7jO0uOxXUF1MpAxew,Rhymastic Official,VN,724000,331791200,142,Music,458.28
UCwHsswGDpVWHPAC-ssScIwQ,Phong Cận Tv,VN,4680000,2429073636,1204,Gaming,519.03
UCgOnbQJXEPTGycuy0UnXKNQ,Lâm Bảo Ngọc - Official,VN,84300,12169255,89,Music,144.36
UCp7eIVeU7p9DcDhW_mHGxBw,Diễn Quân Official,US,2360,412916,14,Music,174.96
UCsYABc3KrwbYb3GHOqJ6wPA,White Toxic,VN,2010000,677847283,541,Gaming,337.24
UCc3TKYSCPxbMRe9T-zRqPUw,Richie D. ICY,VN,73100,25856459,16,Music,353.71
UCQZXmuRbOpZG3T1516vdoFA,ARKA Records,VN,111000,41938192,104,Music,377.82
UCqwUnggBBct-AY2lAdI88jQ,BABYMONSTER,KR,10400000,6086947401,645,Music,585.28
UC3y-S_e9t7oM-bYYLs05iPQ,Bolero Tâm Hồn Việt,VN,12600,2819556,65,Music,223.77
UC3XgogNYEe1gT7p9C_JsB3g,CULÌ TV,VN,743000,172827491,285,Gaming,232.61
UCRlJLuSvWBPVJO_nVUZOXFQ,Đình Dũng Composer,VN,2720,1135086,36,Music,417.31
UCIzzawIg4eCPgZggwFzEQbQ,Garena Liên Quân Mobile,VN,1680000,708808565,2547,Gaming,421.91
UCRE-097LGtx_Zo7LrHvkycA,JISOO,KR,8410000,773273021,116,Music,91.95
UClbFnMu72DbIvh6aZebAHsA,Levi,VN,397000,200762965,2176,Gaming,505.7
UCPUAgyXvXkym-licGb3-ekg,Sương Mê Game,VN,135000,79636876,365,Gaming,589.9
UCxTYgnyy0sEoV3Ndr6XVdGQ,Hoàng Luân,VN,525000,290324910,5971,Gaming,553.0
UC_Z10UrYBQ0I_sfMnoRi7Ag,Khánh An Dân Ca,VN,4610,1070518,54,Music,232.22
UCbm_a1zTsUuwIv0ffUp0MHQ,Nhạc Sàn Remix,VN,272000,56015424,148,Music,205.94
UCkhBnGOwgJlUHx3Js_bOsYg,ACVocals,VN,22500,15489514,64,Music,688.42
UCrcsAxeS8ebljrBnJsNNjFQ,Wendy Thảo,VN,381000,75910802,113,Music,199.24
UC1EOVZPr8neE-05eqKR_K-Q,ADC Gaming,VN,550000,155109652,935,Gaming,282.02
UChjl06HQLevWjy4Ox1Osu_g,Tuyệt Phẩm Trữ Tình,VN,1910,458819,24,Music,240.22
UCUOou5FQw6stD2x63rQnlYg,Cà Na,VN,1050000,472583969,432,Gaming,450.08
UCGTSdDZzdG7QtojmzPKQlsw,JayGrayVN,VN,4380000,1888200778,3133,Gaming,431.1
UC3rA9O1VBfcMz_sDwtBvMoQ,Trái Tim Bolero,VN,9670,1565394,45,Music,161.88
UC85rY9_uW-3TdfKmyW2c57g,Animals Tralala,US,41000,10356294,26,Gaming,252.59
UC0JCOlGZMjAO_ypOiCniLFw,Thành Đô Rumba,US,152000,37218653,744,Music,244.86
UCo39h9sqpTndDl3QIy22OHA,"ANH TRAI ""SAY HI"" 2025 - Topic",VN,795,1273853,17,Music,1602.33
UCnbPd1s1qzCbjeA0Djoopog,ICD - Official Channel,VN,112000,25268212,60,Music,225.61
UCUnU2QfLKvN-tPXJhHeA_Rg,Hà Vi Bolero,VN,30000,21624871,331,Music,720.83
UCgK6kYv8aISZYmYUaLqHBfQ,ZuongZero Entertainment,VN,23700,16237322,319,Music,685.12
UCRnmNDQ0VF8PfYhbgKYBBTQ,Trúc Linh Bolero,VN,3540,1357952,29,Music,383.6
UCz5vBeKvm5DdVxwXlSUwMxQ,Saabirose,VN,135000,19529522,80,Music,144.66
UCtzE22oB3YUmiExOoDBWqhQ,Hoài Lâm,VN,1810000,740742095,261,Music,409.25
UCbKWv2x9t6u8yZoB3KcPtnw,Alan Becker,US,31900000,8808886014,254,Gaming,276.14
UCKl0tA90oEArasOGzp8I41g,TonyTV,VN,11300000,10250146592,863,Film & TV,907.09
UCfnfv44SH7xtpmXcjSu3afA,NHẠC VÀNG HAY NHẤT,VN,275000,22801837,90,Music,82.92
UCh2lo0AEEMkJ3LO4dldfjGA,Mèo Simmy,VN,6010000,2405084228,1977,Gaming,400.18
UC2t5bjwHdUX4vM2g8TRDq5g,League of Legends,US,15900000,9146670020,1635,Gaming,575.26
UCzpmVANLLjh6hyL8eIjlTsw,COOLKID OFFICIAL,VN,48200,50137876,20,Music,1040.2
UCWmsRatuWgbam3P1F8zVqVg,Nhật Hoàng Official,VN,46300,20423123,50,Music,441.1
UC-4IKYa1Ha21g0RAzfFCkrw,Anten.,VN,383000,173890617,1361,Music,454.02
